ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length_minutes,day_of_week,hour_of_day,month,season,is_weekend,trip_distance_km,is_round_trip,is_extreme_duration
65AB909833D81D78,electric_bike,2026-04-01 00:07:00,2026-04-01 00:24:00,Lincoln Park Conservatory,CHI00626,Rockwell St & Division St,CHI02183,41.92393131,-87.63582453,41.90275,-87.69202,casual,17.0,4,0,4,Spring,False,5.212432748149244,False,False
8154BE457F2F554B,electric_bike,2026-04-01 00:13:00,2026-04-01 00:26:00,Drake Ave & Montrose Ave,CHI00227,,,41.96115408,-87.71656907,41.98,-87.69,casual,13.0,4,0,4,Spring,False,3.0358069340124074,False,False
8BBD381296D74A8B,electric_bike,2026-04-01 00:08:00,2026-04-01 00:27:00,Public Rack - Canfield & Victoria,CHI01640,Public Rack - Mulligan & Northwest Hwy,CHI01664,41.985067,-87.823171,41.985317,-87.786721,casual,19.0,4,0,4,Spring,False,3.012835950764519,False,False
1759EB39772A463E,electric_bike,2026-04-01 00:24:00,2026-04-01 00:27:00,State St & Chicago Ave,CHI01772,Dearborn St & Division St,CHI02125,41.8966172,-87.62857854,41.9043,-87.62991,member,3.0,4,0,4,Spring,False,0.8613662039840779,False,False
20421AA56F6A0C04,electric_bike,2026-04-01 00:23:00,2026-04-01 00:28:00,,,,,41.79,-87.6,41.78,-87.6,casual,5.0,4,0,4,Spring,False,1.1119492664455182,False,False
3BDFC99ABF9829BD,classic_bike,2026-04-01 00:25:00,2026-04-01 00:28:00,Damen Ave & Pierce Ave,CHI02057,Claremont Ave & Hirsch St,CHI00404,41.9093581,-87.6777585,41.907781,-87.685854,casual,3.0,4,0,4,Spring,False,0.692495747170146,False,False
DED091AAF3615D14,classic_bike,2026-04-01 00:19:00,2026-04-01 00:30:00,Leavitt St & Augusta Blvd,CHI02120,Ashland Ave & Chicago Ave,CHI00338,41.89962,-87.68194,41.89595436,-87.66772807,member,11.0,4,0,4,Spring,False,1.2448913754709443,False,False
4B4199A31CD98931,electric_bike,2026-04-01 00:28:00,2026-04-01 00:31:00,,,Clark St & Grace St,CHI00301,41.95,-87.66,41.95078,-87.659172,member,3.0,4,0,4,Spring,False,0.11050414148608483,False,False
3296A1E258DCEC56,electric_bike,2026-04-01 00:26:00,2026-04-01 00:31:00,Houston Ave & 92Nd St,CHI00832,Ewing Ave & 97Th St,CHI01991,41.72820422,-87.54970014,41.71982,-87.53542,casual,5.0,4,0,4,Spring,False,1.5078727961519558,False,False
455D13F7B60217D4,electric_bike,2026-04-01 00:27:00,2026-04-01 00:32:00,Clark St & Elm St,CHI00281,,,41.90297,-87.6313,41.91,-87.63,member,5.0,4,0,4,Spring,False,0.7890686060775461,False,False
